Year,Category,Nominee,Additional Info,Won?
2009 (82nd),Actor -- Leading Role,Jeff Bridges,Crazy Heart {'Bad Blake'},YES
2009 (82nd),Actor -- Leading Role,George Clooney,Up in the Air {'Ryan Bingham'},NO
2009 (82nd),Actor -- Leading Role,Colin Firth,A Single Man {'George'},NO
2009 (82nd),Actor -- Leading Role,Morgan Freeman,Invictus {'Nelson Mandela'},NO
2009 (82nd),Actor -- Leading Role,Jeremy Renner,The Hurt Locker {'Staff Sergeant William James'},NO
2009 (82nd),Actor -- Supporting Role,Matt Damon,Invictus {'Francois Pienaar'},NO
2009 (82nd),Actor -- Supporting Role,Woody Harrelson,The Messenger {'Captain Tony Stone'},NO
2009 (82nd),Actor -- Supporting Role,Christopher Plummer,The Last Station {'Tolstoy'},NO
2009 (82nd),Actor -- Supporting Role,Stanley Tucci,The Lovely Bones {'George Harvey'},NO
2009 (82nd),Actor -- Supporting Role,Christoph Waltz,Inglourious Basterds {'Col. Hans Landa'},YES
2009 (82nd),Actress -- Leading Role,Sandra Bullock,The Blind Side {'Leigh Anne Tuohy'},YES
2009 (82nd),Actress -- Leading Role,Helen Mirren,The Last Station {'Sofya'},NO
2009 (82nd),Actress -- Leading Role,Carey Mulligan,An Education {'Jenny'},NO
2009 (82nd),Actress -- Leading Role,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire {'Precious'},NO
2009 (82nd),Actress -- Leading Role,Meryl Streep,Julie & Julia {'Julia Child'},NO
2009 (82nd),Actress -- Supporting Role,Pen_lope Cruz,Nine {'Carla'},NO
2009 (82nd),Actress -- Supporting Role,Vera Farmiga,Up in the Air {'Alex Goran'},NO
2009 (82nd),Actress -- Supporting Role,Maggie Gyllenhaal,Crazy Heart {'Jean Craddock'},NO
2009 (82nd),Actress -- Supporting Role,Anna Kendrick,Up in the Air {'Natalie Keener'},NO
2009 (82nd),Actress -- Supporting Role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire {'Mary'},YES
2009 (82nd),Animated Feature Film,Coraline,Henry Selick,NO
2009 (82nd),Animated Feature Film,Fantastic Mr. Fox,Wes Anderson,NO
2009 (82nd),Animated Feature Film,The Princess and the Frog,John Musker and Ron Clements,NO
2009 (82nd),Animated Feature Film,The Secret of Kells,Tomm Moore,NO
2009 (82nd),Animated Feature Film,Up,Pete Docter,YES
2009 (82nd),Art Direction,Avatar,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair,YES
2009 (82nd),Art Direction,The Imaginarium of Doctor Parnassus,Production Design: Dave Warren and Anastasia Masaro; Set Decoration: Caroline Smith,NO
2009 (82nd),Art Direction,Nine,Production Design: John Myhre; Set Decoration: Gordon Sim,NO
2009 (82nd),Art Direction,Sherlock Holmes,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,NO
2009 (82nd),Art Direction,The Young Victoria,Production Design: Patrice Vermette; Set Decoration: Maggie Gray,NO
2009 (82nd),Cinematography,Avatar,Mauro Fiore,YES
2009 (82nd),Cinematography,Harry Potter and the Half-Blood Prince,Bruno Delbonnel,NO
2009 (82nd),Cinematography,The Hurt Locker,Barry Ackroyd,NO
2009 (82nd),Cinematography,Inglourious Basterds,Robert Richardson,NO
2009 (82nd),Cinematography,The White Ribbon,Christian Berger,NO
2009 (82nd),Costume Design,Bright Star,Janet Patterson,NO
2009 (82nd),Costume Design,Coco before Chanel,Catherine Leterrier,NO
2009 (82nd),Costume Design,The Imaginarium of Doctor Parnassus,Monique Prudhomme,NO
2009 (82nd),Costume Design,Nine,Colleen Atwood,NO
2009 (82nd),Costume Design,The Young Victoria,Sandy Powell,YES
2009 (82nd),Directing,Avatar,James Cameron,NO
2009 (82nd),Directing,The Hurt Locker,Kathryn Bigelow,YES
